,when_captured,device_urn,device_sn,device,loc_lat,loc_lon,env_temp,env_humid,pms_pm01_0,pms_pm02_5,pms_pm10_0,lnd_7318c,lnd_7318u,bat_voltage,year,KEY_Dev_WhenCapt
13599,2020-05-01 02:44:33+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,28.0,28,,2020,"(3714913954, Timestamp('2020-05-01 02:44:33+0000', tz='UTC'))"
13598,2020-05-01 02:44:45+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,6.0,10.0,11.0,,,,2020,"(3714913954, Timestamp('2020-05-01 02:44:45+0000', tz='UTC'))"
13597,2020-05-01 02:45:07+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 02:45:07+0000', tz='UTC'))"
13596,2020-05-01 02:57:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 02:57:15+0000', tz='UTC'))"
13595,2020-05-01 02:58:09+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,3.0,4.0,5.0,,,,2020,"(678194983, Timestamp('2020-05-01 02:58:09+0000', tz='UTC'))"
13594,2020-05-01 02:58:24+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 02:58:24+0000', tz='UTC'))"
13593,2020-05-01 02:58:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,27.0,32,3.8680000000000003,2020,"(678194983, Timestamp('2020-05-01 02:58:39+0000', tz='UTC'))"
13592,2020-05-01 02:59:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,23.0,22,,2020,"(3714913954, Timestamp('2020-05-01 02:59:23+0000', tz='UTC'))"
13591,2020-05-01 03:14:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,26.0,27,,2020,"(3714913954, Timestamp('2020-05-01 03:14:23+0000', tz='UTC'))"
13590,2020-05-01 03:14:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,7.0,11.0,13.0,,,,2020,"(3714913954, Timestamp('2020-05-01 03:14:49+0000', tz='UTC'))"
13589,2020-05-01 03:15:06+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 03:15:06+0000', tz='UTC'))"
13588,2020-05-01 03:27:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,3.0,5.0,5.0,,,,2020,"(678194983, Timestamp('2020-05-01 03:27:15+0000', tz='UTC'))"
13587,2020-05-01 03:27:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 03:27:39+0000', tz='UTC'))"
13586,2020-05-01 03:27:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,27.0,28,3.867,2020,"(678194983, Timestamp('2020-05-01 03:27:54+0000', tz='UTC'))"
13585,2020-05-01 03:28:29+00:00,safecast:1875225345,Solarcast #30006,1875225345,37.358000000000004,140.368,,,,,,40.0,40,,2020,"(1875225345, Timestamp('2020-05-01 03:28:29+0000', tz='UTC'))"
13584,2020-05-01 03:29:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,29.0,27,,2020,"(3714913954, Timestamp('2020-05-01 03:29:23+0000', tz='UTC'))"
13583,2020-05-01 03:42:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,32.0,32,,2020,"(678194983, Timestamp('2020-05-01 03:42:15+0000', tz='UTC'))"
13582,2020-05-01 03:44:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,25,,2020,"(3714913954, Timestamp('2020-05-01 03:44:23+0000', tz='UTC'))"
13581,2020-05-01 03:44:48+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,8.0,13.0,15.0,,,,2020,"(3714913954, Timestamp('2020-05-01 03:44:48+0000', tz='UTC'))"
13580,2020-05-01 03:45:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 03:45:00+0000', tz='UTC'))"
13579,2020-05-01 03:48:12+00:00,safecast:2750599726,Solarcast #33003,2750599726,46.308,-119.34700000000001,,,,,,,29,4.188,2020,"(2750599726, Timestamp('2020-05-01 03:48:12+0000', tz='UTC'))"
13578,2020-05-01 03:57:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,2.0,3.0,3.0,,,,2020,"(678194983, Timestamp('2020-05-01 03:57:15+0000', tz='UTC'))"
13577,2020-05-01 03:57:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 03:57:39+0000', tz='UTC'))"
13576,2020-05-01 03:57:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,25.0,34,3.866,2020,"(678194983, Timestamp('2020-05-01 03:57:54+0000', tz='UTC'))"
13575,2020-05-01 03:59:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,26.0,25,,2020,"(3714913954, Timestamp('2020-05-01 03:59:23+0000', tz='UTC'))"
13574,2020-05-01 04:12:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,24.0,33,,2020,"(678194983, Timestamp('2020-05-01 04:12:15+0000', tz='UTC'))"
13573,2020-05-01 04:14:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,24.0,26,,2020,"(3714913954, Timestamp('2020-05-01 04:14:23+0000', tz='UTC'))"
13572,2020-05-01 04:14:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,10.0,16.0,20.0,,,,2020,"(3714913954, Timestamp('2020-05-01 04:14:49+0000', tz='UTC'))"
13571,2020-05-01 04:15:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 04:15:00+0000', tz='UTC'))"
13570,2020-05-01 04:24:42+00:00,safecast:3709008148,Solarcast #30003,3709008148,42.565,-70.78399999999999,9.427999999999999,94.095,3.0,7.0,11.0,27.0,25,3.9,2020,"(3709008148, Timestamp('2020-05-01 04:24:42+0000', tz='UTC'))"
13569,2020-05-01 04:27:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,1.0,1.0,1.0,,,,2020,"(678194983, Timestamp('2020-05-01 04:27:15+0000', tz='UTC'))"
13568,2020-05-01 04:27:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 04:27:39+0000', tz='UTC'))"
13567,2020-05-01 04:27:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,29.0,33,3.865,2020,"(678194983, Timestamp('2020-05-01 04:27:54+0000', tz='UTC'))"
13566,2020-05-01 04:29:30+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,21.0,27,,2020,"(3714913954, Timestamp('2020-05-01 04:29:30+0000', tz='UTC'))"
13565,2020-05-01 04:41:37+00:00,safecast:1162749983,Solarcast #33008,1162749983,34.482,136.162,,,,,,,34,,2020,"(1162749983, Timestamp('2020-05-01 04:41:37+0000', tz='UTC'))"
13564,2020-05-01 04:42:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,29.0,29,,2020,"(678194983, Timestamp('2020-05-01 04:42:15+0000', tz='UTC'))"
13563,2020-05-01 04:44:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,24.0,25,,2020,"(3714913954, Timestamp('2020-05-01 04:44:23+0000', tz='UTC'))"
13562,2020-05-01 04:44:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,9.0,15.0,16.0,,,,2020,"(3714913954, Timestamp('2020-05-01 04:44:49+0000', tz='UTC'))"
13561,2020-05-01 04:45:07+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 04:45:07+0000', tz='UTC'))"
13560,2020-05-01 04:57:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,0.0,1.0,1.0,,,,2020,"(678194983, Timestamp('2020-05-01 04:57:15+0000', tz='UTC'))"
13559,2020-05-01 04:57:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 04:57:39+0000', tz='UTC'))"
13558,2020-05-01 04:57:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,30.0,31,3.863,2020,"(678194983, Timestamp('2020-05-01 04:57:54+0000', tz='UTC'))"
13557,2020-05-01 04:59:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,30,,2020,"(3714913954, Timestamp('2020-05-01 04:59:23+0000', tz='UTC'))"
13556,2020-05-01 05:12:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,29.0,30,,2020,"(678194983, Timestamp('2020-05-01 05:12:15+0000', tz='UTC'))"
13555,2020-05-01 05:14:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,27,,2020,"(3714913954, Timestamp('2020-05-01 05:14:23+0000', tz='UTC'))"
13554,2020-05-01 05:14:52+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,9.0,15.0,17.0,,,,2020,"(3714913954, Timestamp('2020-05-01 05:14:52+0000', tz='UTC'))"
13553,2020-05-01 05:15:01+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 05:15:01+0000', tz='UTC'))"
13552,2020-05-01 05:15:40+00:00,safecast:230442684,Solarcast #30016,230442684,34.122,-118.26100000000001,,,,,,0.0,37,3.577,2020,"(230442684, Timestamp('2020-05-01 05:15:40+0000', tz='UTC'))"
13551,2020-05-01 05:27:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,1.0,1.0,1.0,,,,2020,"(678194983, Timestamp('2020-05-01 05:27:15+0000', tz='UTC'))"
13550,2020-05-01 05:27:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 05:27:39+0000', tz='UTC'))"
13549,2020-05-01 05:27:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,30.0,31,3.863,2020,"(678194983, Timestamp('2020-05-01 05:27:54+0000', tz='UTC'))"
13548,2020-05-01 05:29:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,28,,2020,"(3714913954, Timestamp('2020-05-01 05:29:23+0000', tz='UTC'))"
13547,2020-05-01 05:42:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,29.0,32,,2020,"(678194983, Timestamp('2020-05-01 05:42:15+0000', tz='UTC'))"
13546,2020-05-01 05:44:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,30.0,26,,2020,"(3714913954, Timestamp('2020-05-01 05:44:23+0000', tz='UTC'))"
13545,2020-05-01 05:44:48+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,8.0,14.0,19.0,,,,2020,"(3714913954, Timestamp('2020-05-01 05:44:48+0000', tz='UTC'))"
13544,2020-05-01 05:45:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 05:45:00+0000', tz='UTC'))"
13543,2020-05-01 05:51:21+00:00,safecast:3856112813,Solarcast #30001,3856112813,47.611999999999995,-122.345,,,,,,,,3.891,2020,"(3856112813, Timestamp('2020-05-01 05:51:21+0000', tz='UTC'))"
13542,2020-05-01 05:57:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,0.0,1.0,1.0,,,,2020,"(678194983, Timestamp('2020-05-01 05:57:15+0000', tz='UTC'))"
13541,2020-05-01 05:57:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 05:57:39+0000', tz='UTC'))"
13540,2020-05-01 05:57:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,29.0,28,3.86,2020,"(678194983, Timestamp('2020-05-01 05:57:54+0000', tz='UTC'))"
13539,2020-05-01 05:59:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,24.0,28,,2020,"(3714913954, Timestamp('2020-05-01 05:59:23+0000', tz='UTC'))"
13538,2020-05-01 06:02:50+00:00,safecast:2670856639,Solarcast #30014,2670856639,34.452,-119.822,,,,,,34.0,36,,2020,"(2670856639, Timestamp('2020-05-01 06:02:50+0000', tz='UTC'))"
13537,2020-05-01 06:12:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,27.0,28,,2020,"(678194983, Timestamp('2020-05-01 06:12:15+0000', tz='UTC'))"
13536,2020-05-01 06:14:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,24.0,22,,2020,"(3714913954, Timestamp('2020-05-01 06:14:23+0000', tz='UTC'))"
13535,2020-05-01 06:14:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,11.0,19.0,21.0,,,,2020,"(3714913954, Timestamp('2020-05-01 06:14:49+0000', tz='UTC'))"
13534,2020-05-01 06:15:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 06:15:00+0000', tz='UTC'))"
13533,2020-05-01 06:27:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,1.0,1.0,1.0,,,,2020,"(678194983, Timestamp('2020-05-01 06:27:15+0000', tz='UTC'))"
13532,2020-05-01 06:27:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 06:27:39+0000', tz='UTC'))"
